jobid,jobtitle,company,location,url,updatedatetime
4388316551,Sr. Manager in Tech@Lilly,Eli Lilly and Company,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4388316551,2026-04-25 17:50:23
4373235377,Senior IT Business Relationship Manager,Abbott,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4373235377,2026-04-25 17:50:24
4405662734,Digital R&D Leader,GE HealthCare,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4405662734,2026-04-25 17:50:42
4379901050,Business Analysis Manager (Manufacturing IT System),Roche,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4379901050,2026-04-25 17:50:24
4392189450,IT Business Relationship Manager III– A&T and ABC Divisions,Jabil,"Guangzhou, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4392189450,2026-04-25 17:50:24
4329684023,IT Manager (Application Development),Teladoc Health Asia,"Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4329684023,2026-04-25 17:50:24
4367053465,IT Architect & Delivery Manager(Consumer Goods),Philips,"Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4367053465,2026-04-25 17:50:24
4405660672,Digital R&D Leader,GE HealthCare,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4405660672,2026-04-25 17:50:23
4373248018,IT Business Relationship Director,Abbott,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4373248018,2026-04-25 17:50:42
4383504687,Head of Business Partnering DIA China,Roche,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4383504687,2026-04-25 17:50:42
4403971020,Senior Business Program Manager,Siemens Healthineers,"Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4403971020,2026-04-25 17:50:42
4395472668,Enterprise Customer Technical Program Manager,NVIDIA,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4395472668,2026-04-25 17:50:56
